"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test the successful Rewards creation by an admin","","0","0","19","0","0"
"","Test the unsuccessful Standalone account creation flow as a an Accountholder","","0","0","17","0","0"
"","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","0","11","75","40","0"
"","Test Magento Post To SDK functionality","","1","3","6","0","0"
"","Admin Login Suite","","1","0","34","0","0"
"","Test Registration of Accountholders","","1","3","31","0","0"
"","Test the successful Purchase completion in Express Checkout","","3","2","20","2","0"
"","Test the successful Refund flow as an admin","","0","0","11","0","0"
"","Test the Heidi Daus's PDP Tandym ""Save & earn on your first purchase"" modal","","0","0","17","24","0"
"","Merchant issues Refunds on dual message for credit orders suite","","0","0","5","0","0"
"","Merchant Login Suite","","0","0","10","0","0"
"","Test applicant cannot create a standalone account creation flow without accepting disclosures","","0","0","9","0","0"
"","Test the Simple Tire's PDP Tandym ""Save & earn on your first purchase"" modal","","0","0","17","0","0"
"","Merchant Registration Suite","","0","1","19","0","0"
"","Test the successful capture of a payment on a Dual Message merchant by a merchant manager","","0","3","7","0","0"
"","Admin in merchant user registration flow","","0","3","12","0","0"
"","Test the unsuccessful Purchase completion flow","","0","2","8","0","0"
"","Test the Jenson's PDP Tandym modal","","1","0","11","0","0"
"","Test the Standalone You're Approved screen as a Credit Applicant","","1","0","27","0","0"
"","Test the successful Purchase completion flow as a Credit customer","","2","0","8","0","0"
"","Test the successful Standalone account creation flow as an Applicant","","0","0","11","0","0"
"","End to End Payments Suite","","0","2","1","0","0"
"","Test Unsuccessful Registration of Accountholders","","0","0","8","0","0"
"","","","0","3","12","0","0"
"","Test the unsuccessful Standalone account creation flow as an Applicant","","0","0","5","0","0"
"","Servicing account creation suite","","0","3","1","0","0"
"","Test the All Citizens's PDP Tandym Widget","","0","0","6","0","0"
"","Test the Servicing Portal","","1","0","14","0","0"
"","Test the successful capture of a payment on a Dual Message merchant by an admin","","0","0","23","0","0"
"","Test Shopify Post To SDK functionality","","0","4","7","2","0"
"","Test the Heidi Daus's PDP Tandym Widget","","0","1","19","0","0"
"","Test the successful Campaign creation by an admin","","0","1","12","1","0"
"","Test the Capture flow of a Dual Message merchant by an admin","","0","1","27","0","0"
"","Test the successful Refund flow as a merchant","","0","4","7","0","0"
"","Test Successful Registration of Accountholders","","0","1","6","0","0"
"","Test the Simple Tire's PDP Tandym Widget","","1","0","5","0","0"
"","Test the unsuccessful Standalone account creation flow as a Credit Accountholder","","1","0","3","0","0"
"","Servicing Portal Login Suite","","0","1","7","0","0"
"","Merchant issues Refunds on single message merchant on credit orders suite","","0","0","5","0","0"
"","Merchant issues Refunds on single message merchant on debit orders suite","","0","0","6","0","0"
"","Test the successful void of a payment on a Dual Message merchant","","0","0","12","0","0"
"","Test the successful Refund flow as a merchant for debit orders","","0","1","3","0","0"
"","Test the successful Purchase completion flow as a Debit customer","","0","1","5","0","0"
"","Test the All Citizens's PDP Tandym ""Save & earn on your first purchase"" modal","","0","0","18","0","0"
"","Test Woocommerce Post To SDK funtionality","","0","0","2","0","0"
"","Servicing Portal Payments Suite","","0","1","2","0","0"
"","Test the successful Refund flow as a merchant for credit orders","","0","0","3","0","0"
"","Test Woocommerce Post To SDK functionality","","0","3","7","0","0"
"","Test the Jenson's PDP Tandym Widget","","1","0","5","0","0"
"","Test the update of the orderId used by Shopify and custom works","","1","0","4","0","0"
"","Test Bigcommerce Post To SDK functionality","","0","0","2","0","0"
"","Test Payments flow on the Servicing Portal","","0","0","1","0","0"
"","Test Shopify Post To SDK funtionality","","0","0","2","0","0"
